Booking Ref,Stage,Date,Handled By,Status
FOY-0011,Arrival,2026-03-08,Aine Murray,completed
FOY-0012,Request Received,2026-03-15,Niamh Kelly,ok
FOY-0012,Placement Offer,2026-03-16,Declan Quinn,completed
FOY-0012,Booking Confirmed,"Mar 24, 2026",Roisin Friel,
FOY-0012,Invoice Issued,2026-03-25 17:00,Aine Murray,closed
FOY-0012,DOCUMENT RE-REQUEST,2026-03-25 17:00,Aine Murray,closed
FOY-0012,Pre-Arrival Logistics,29-Mar-2026,Sean Gallagher,completed
FOY-0012,arrival,2026-04-07 17:00,Paul Doherty,complete
FOY-0013,Request Received,03-Mar-2026,Niamh Kelly,completed
FOY-0013,Placement Offer,2026-03-05,Orla McLaughlin,closed
FOY-0013,Placement Re-allocation,"Mar 08, 2026",Ciaran Bradley,closed
FOY-0013,Booking Confirmed,2026-03-10 15:15,Sean Gallagher,
FOY-0013,Invoice Issued,14/03/2026,Declan Quinn,complete
FOY-0013,  Pre-Arrival Logistics,2026-03-20,,complete
FOY-0013,arrival,25-Mar-2026,Roisin Friel,completed
FOY-0014,Request Received,"Mar 04, 2026",Sean Gallagher,ok
FOY-0014,  Placement Offer,"Mar 07, 2026",,done
FOY-0014,Booking Confirmed,09/03/2026,Niamh Kelly,closed
FOY-0014,Invoice Issued,"Mar 11, 2026",Declan Quinn,done
FOY-0014,Document Re-request,2026-03-12 16:00,Ciaran Bradley,completed
FOY-0014,Pre-Arrival Logistics,2026-03-17 16:00,Declan Quinn,ok
FOY-0014,Arrival,2026-03-24 16:00,,done
FOY-0015,REQUEST RECEIVED,30/01/2026,Paul Doherty,done
FOY-0015,placement offer,"Feb 01, 2026",Ciaran Bradley,complete
FOY-0015,Booking Confirmed,"Feb 03, 2026",Declan Quinn,completed
FOY-0015,Invoice Issued ,06/02/2026,Roisin Friel,closed
FOY-0015,pre-arrival logistics,"Feb 11, 2026",Roisin Friel,completed
FOY-0015,Arrival,"Feb 17, 2026",Sean Gallagher,ok
FOY-0016,request received,2026-01-05 12:45,Declan Quinn,closed
FOY-0016,Placement Offer,2026-01-08 12:45,Roisin Friel,
FOY-0016,PLACEMENT RE-ALLOCATION,"Jan 10, 2026",Paul Doherty,completed
FOY-0016,Booking Confirmed,2026-01-23,Declan Quinn,complete
FOY-0016,invoice issued,24-Jan-2026,,closed
FOY-0016,Pre-Arrival Logistics,27-Jan-2026,Aine Murray,complete
FOY-0016,  Arrival,03/02/2026,Aine Murray,complete
FOY-0017,Request Received,23-Feb-2026,Paul Doherty,complete
FOY-0017,Placement Offer,"Feb 24, 2026",Declan Quinn,
FOY-0017,Placement Re-allocation ,2026-02-26 16:00,Paul Doherty,completed
FOY-0017,booking confirmed,"Mar 06, 2026",Roisin Friel,closed
FOY-0017,invoice issued,10-Mar-2026,Sean Gallagher,complete
FOY-0017,Document Re-request,"Mar 11, 2026",Orla McLaughlin,complete
FOY-0017,pre-arrival logistics ,2026-03-16,Ciaran Bradley,
FOY-0017,Arrival,2026-03-24 16:00,Aine Murray,closed
FOY-0018,Request Received ,"Mar 03, 2026",Sean Gallagher,closed
FOY-0018,Placement Offer ,"Mar 06, 2026",Aine Murray,completed
FOY-0018,placement re-allocation,2026-03-08 11:00,Paul Doherty,done
FOY-0018,BOOKING CONFIRMED,"Mar 20, 2026",Orla McLaughlin,closed
FOY-0018,INVOICE ISSUED ,2026-03-21,Orla McLaughlin,ok
FOY-0018,Pre-Arrival Logistics,"Mar 26, 2026",Roisin Friel,closed
FOY-0018,arrival,2026-04-02,Sean Gallagher,complete
FOY-0019,request received,05-Mar-2026,,done
FOY-0019,Placement Offer,07-Mar-2026,Roisin Friel,ok
FOY-0019,placement re-allocation,09-Mar-2026,Declan Quinn,completed
FOY-0019,BOOKING CONFIRMED,2026-03-10 14:15,Orla McLaughlin,complete
FOY-0019,invoice issued,12/03/2026,Ciaran Bradley,complete
FOY-0019,Document Re-request,2026-03-12,Niamh Kelly,ok
FOY-0019,Pre-Arrival Logistics,18-Mar-2026,Ciaran Bradley,completed
FOY-0019,Arrival,22-Mar-2026,Aine Murray,done
FOY-0020,Request Received,2026-01-10,Declan Quinn,closed
FOY-0020,Placement Offer,2026-01-12 09:45,Paul Doherty,completed
FOY-0020,Booking Confirmed,2026-01-20 09:45,Declan Quinn,closed
FOY-0020,Invoice Issued,23-Jan-2026,Aine Murray,
FOY-0020,Document Re-request,23-Jan-2026,Niamh Kelly,closed
FOY-0020,Pre-Arrival Logistics,27/01/2026,Paul Doherty,ok
FOY-0020,Arrival,04-Feb-2026,Paul Doherty,ok
FOY-0021,REQUEST RECEIVED ,2026-02-13,Aine Murray,closed
FOY-0021,PLACEMENT OFFER,15-Feb-2026,Niamh Kelly,done
FOY-0021,Booking Confirmed,2026-02-28 15:15,Sean Gallagher,completed
FOY-0021,Invoice Issued,04-Mar-2026,Declan Quinn,completed
FOY-0021,Document Re-request,05/03/2026,,ok
FOY-0021,Pre-Arrival Logistics,2026-03-11,Orla McLaughlin,complete
FOY-0021,  Arrival,2026-03-16 15:15,Ciaran Bradley,
FOY-0022,  Request Received,"Feb 17, 2026",Niamh Kelly,completed
FOY-0022,Placement Offer,2026-02-19 11:00,Aine Murray,done
FOY-0022,booking confirmed,2026-03-05 11:00,Paul Doherty,complete
FOY-0022,INVOICE ISSUED,2026-03-06,Paul Doherty,ok
FOY-0022,Document Re-request,"Mar 06, 2026",,completed
FOY-0022,PRE-ARRIVAL LOGISTICS,"Mar 11, 2026",Paul Doherty,closed
FOY-0022,Arrival,"Mar 14, 2026",Orla McLaughlin,completed
FOY-0023,request received,16/03/2026,Declan Quinn,ok
FOY-0023,placement offer,"Mar 17, 2026",,complete
FOY-0023,Booking Confirmed,27-Mar-2026,Declan Quinn,complete
FOY-0023,Invoice Issued,"Mar 28, 2026",Roisin Friel,ok
FOY-0023,Pre-Arrival Logistics,"Apr 02, 2026",Orla McLaughlin,
FOY-0023,Arrival ,"Apr 07, 2026",Orla McLaughlin,ok
FOY-0024,Request Received,2026-02-15,Roisin Friel,complete
FOY-0024,Placement Offer,16/02/2026,Paul Doherty,completed
FOY-0024,booking confirmed,"Feb 28, 2026",Ciaran Bradley,done
FOY-0024,Invoice Issued,2026-03-03,Aine Murray,ok
FOY-0024,pre-arrival logistics,09/03/2026,Orla McLaughlin,ok
FOY-0024,Arrival,2026-03-14 17:45,Paul Doherty,completed
FOY-0025,Request Received,08/02/2026,Niamh Kelly,
FOY-0025,Placement Offer,11/02/2026,,ok
FOY-0025,Placement Re-allocation,14-Feb-2026,Paul Doherty,completed
FOY-0025,Booking Confirmed,16-Feb-2026,Niamh Kelly,complete
FOY-0025,Invoice Issued,17/02/2026,Ciaran Bradley,complete
FOY-0025,Pre-Arrival Logistics,23-Feb-2026,Orla McLaughlin,completed
FOY-0025,Arrival,27/02/2026,Niamh Kelly,closed
FOY-0026,Request Received,2026-01-11,Declan Quinn,closed
FOY-0026,Placement Offer,"Jan 13, 2026",,done
FOY-0026,Booking Confirmed,"Jan 15, 2026",Ciaran Bradley,completed
FOY-0026,Invoice Issued ,17/01/2026,Declan Quinn,ok
FOY-0026,document re-request,2026-01-17 08:30,Sean Gallagher,complete
FOY-0026,Pre-Arrival Logistics,23-Jan-2026,Declan Quinn,completed
FOY-0026,Arrival,27/01/2026,,completed
FOY-0027,Request Received,2026-03-10 08:00,,done
FOY-0027,Placement Offer,2026-03-11 08:00,Orla McLaughlin,closed
FOY-0027,  booking confirmed,"Mar 12, 2026",Ciaran Bradley,complete
FOY-0027,  Invoice Issued,"Mar 16, 2026",Declan Quinn,complete
FOY-0027,pre-arrival logistics,2026-03-22 08:00,Orla McLaughlin,closed
FOY-0027,Arrival,"Apr 01, 2026",Ciaran Bradley,ok
FOY-0028,Request Received,04-Jan-2026,Sean Gallagher,closed
FOY-0028,Placement Offer,07/01/2026,,done
FOY-0028,Booking Confirmed,2026-01-09 17:45,Declan Quinn,done
FOY-0028,Invoice Issued,2026-01-11 17:45,Ciaran Bradley,ok
FOY-0028,Pre-Arrival Logistics,"Jan 15, 2026",Declan Quinn,complete
FOY-0028,ARRIVAL,"Jan 22, 2026",Sean Gallagher,ok
FOY-0029,Request Received,2026-02-05 12:00,Ciaran Bradley,complete
FOY-0029,  Placement Offer,"Feb 07, 2026",Declan Quinn,closed
FOY-0029,Booking Confirmed,19-Feb-2026,Sean Gallagher,closed
FOY-0029,invoice issued,2026-02-21,,closed
FOY-0029,Pre-Arrival Logistics,2026-02-24 12:00,Sean Gallagher,completed
FOY-0029,  Arrival,27-Feb-2026,Aine Murray,complete
FOY-0030,Request Received,2026-02-20,Aine Murray,closed
FOY-0030,Placement Offer,2026-02-22 15:15,Niamh Kelly,ok
FOY-0030,Placement Re-allocation,23/02/2026,Aine Murray,completed
FOY-0030,BOOKING CONFIRMED,2026-02-24 15:15,Ciaran Bradley,done
FOY-0030,Invoice Issued ,2026-02-26 15:15,Sean Gallagher,completed
FOY-0030,Pre-Arrival Logistics,"Mar 02, 2026",,done
FOY-0030,Arrival,"Mar 07, 2026",Paul Doherty,completed
FOY-0031,Request Received,28-Feb-2026,Sean Gallagher,closed
FOY-0031,Placement Offer,01-Mar-2026,,closed
FOY-0031,Booking Confirmed,10-Mar-2026,Declan Quinn,complete
FOY-0031,invoice issued,2026-03-14 17:30,Niamh Kelly,ok
FOY-0031,Pre-Arrival Logistics,2026-03-20 17:30,Orla McLaughlin,complete
FOY-0031,Arrival,2026-03-23,Paul Doherty,
FOY-0032,Request Received,2026-03-24 14:30,Roisin Friel,closed
FOY-0032,placement offer,26/03/2026,Sean Gallagher,done
FOY-0032,Booking Confirmed,06/04/2026,Sean Gallagher,complete
FOY-0032,invoice issued,2026-04-07,Sean Gallagher,done
FOY-0032,Pre-Arrival Logistics ,2026-04-12,Roisin Friel,closed
FOY-0032,arrival,15-Apr-2026,Ciaran Bradley,completed
FOY-0033,request received,22/02/2026,Roisin Friel,done
FOY-0033,Placement Offer,2026-02-25 12:30,Roisin Friel,ok
FOY-0033,BOOKING CONFIRMED,27/02/2026,Declan Quinn,closed
FOY-0033,Invoice Issued,03/03/2026,Ciaran Bradley,ok
FOY-0033,Pre-Arrival Logistics ,2026-03-05 12:30,Aine Murray,complete
FOY-0033,Arrival,2026-03-11,Sean Gallagher,done
FOY-0034,Request Received,2026-04-01 11:45,Declan Quinn,completed
FOY-0034,Placement Offer ,2026-04-03 11:45,Ciaran Bradley,completed
FOY-0034,Booking Confirmed,"Apr 04, 2026",Roisin Friel,complete
FOY-0034,Invoice Issued,"Apr 08, 2026",Orla McLaughlin,ok
FOY-0034,Pre-Arrival Logistics,13/04/2026,Declan Quinn,closed
FOY-0034,Arrival ,2026-04-16,Aine Murray,
FOY-0035,  Request Received,2026-01-08 17:45,,completed
FOY-0035,placement offer,10/01/2026,Paul Doherty,closed
FOY-0035,Booking Confirmed,2026-01-19 17:45,Paul Doherty,ok
FOY-0035,Invoice Issued,2026-01-21,Aine Murray,ok
FOY-0035,  document re-request,2026-01-22 17:45,Roisin Friel,completed
FOY-0035,Pre-Arrival Logistics,24-Jan-2026,Declan Quinn,done
FOY-0035,Arrival ,"Jan 31, 2026",Aine Murray,closed
FOY-0036,Request Received,08-Feb-2026,Ciaran Bradley,complete
FOY-0036,Placement Offer,2026-02-11,Paul Doherty,done
FOY-0036,Booking Confirmed,2026-02-13 10:15,Declan Quinn,closed
FOY-0036,INVOICE ISSUED,17-Feb-2026,Orla McLaughlin,done
FOY-0036,Pre-Arrival Logistics,2026-02-20 10:15,Ciaran Bradley,
FOY-0036,Arrival ,2026-02-27,Niamh Kelly,closed
FOY-0037,  Request Received,2026-01-12,Sean Gallagher,complete
FOY-0037,placement offer,2026-01-13,Niamh Kelly,ok
FOY-0037,booking confirmed,2026-01-27 17:30,Sean Gallagher,complete
FOY-0037,Invoice Issued,"Jan 31, 2026",Declan Quinn,closed
FOY-0037,Document Re-request,01/02/2026,Roisin Friel,completed
FOY-0037,Pre-Arrival Logistics,"Feb 06, 2026",Roisin Friel,closed
FOY-0037,Arrival,2026-02-11 17:30,Sean Gallagher,completed
FOY-0038,Request Received,2026-03-28 15:15,,closed
FOY-0038,Placement Offer,2026-03-30 15:15,Aine Murray,completed
FOY-0038,Booking Confirmed ,13/04/2026,Ciaran Bradley,
FOY-0038,Invoice Issued,2026-04-17,Aine Murray,complete
FOY-0038,Pre-Arrival Logistics,"Apr 23, 2026",Roisin Friel,closed
FOY-0038,  Arrival ,2026-04-28 15:15,Paul Doherty,complete
FOY-0039,Request Received,"Feb 14, 2026",Aine Murray,
FOY-0039,Placement Offer,16/02/2026,Niamh Kelly,completed
FOY-0039,BOOKING CONFIRMED,2026-02-27 15:00,,closed
FOY-0039,Invoice Issued,03/03/2026,Orla McLaughlin,done
FOY-0039,PRE-ARRIVAL LOGISTICS,"Mar 09, 2026",Declan Quinn,completed
FOY-0039,Arrival,18-Mar-2026,Niamh Kelly,completed
FOY-0040,REQUEST RECEIVED,2026-01-31 12:00,Niamh Kelly,ok
FOY-0040,Placement Offer,03/02/2026,Niamh Kelly,complete
FOY-0040,  Booking Confirmed,2026-02-17,Declan Quinn,ok
FOY-0040,Invoice Issued,2026-02-21 12:00,Declan Quinn,
FOY-0040,Pre-Arrival Logistics,24/02/2026,Declan Quinn,ok
FOY-0040,Arrival,"Feb 28, 2026",Aine Murray,ok
FOY-0041,Request Received,2026-02-01 12:00,Paul Doherty,complete
FOY-0041,Placement Offer,2026-02-04 12:00,Niamh Kelly,complete
FOY-0041,Booking Confirmed,05/02/2026,Ciaran Bradley,completed
FOY-0041,Invoice Issued,2026-02-08,Niamh Kelly,ok
FOY-0041,Document Re-request,09/02/2026,Niamh Kelly,complete
FOY-0041,Pre-Arrival Logistics,2026-02-14 12:00,Roisin Friel,done
FOY-0041,Arrival,2026-02-21 12:00,Ciaran Bradley,done
FOY-0042,REQUEST RECEIVED,"Jan 09, 2026",Ciaran Bradley,completed
FOY-0042,Placement Offer,2026-01-10,Aine Murray,
FOY-0042,BOOKING CONFIRMED,2026-01-24 16:45,Sean Gallagher,complete
FOY-0042,INVOICE ISSUED,"Jan 27, 2026",Orla McLaughlin,
FOY-0042,Pre-Arrival Logistics,2026-01-31,,
FOY-0042,Arrival ,"Feb 06, 2026",Paul Doherty,ok
FOY-0043,Request Received,14/01/2026,,
FOY-0043,PLACEMENT OFFER,17/01/2026,Roisin Friel,ok
FOY-0043,Placement Re-allocation,2026-01-18 09:30,Ciaran Bradley,completed
FOY-0043,  Booking Confirmed,27-Jan-2026,Orla McLaughlin,done
FOY-0043,INVOICE ISSUED,2026-01-30 09:30,Orla McLaughlin,complete
FOY-0043,DOCUMENT RE-REQUEST ,2026-01-30,Ciaran Bradley,complete
FOY-0043,Pre-Arrival Logistics,2026-02-05 09:30,,
FOY-0043,  arrival,11-Feb-2026,Orla McLaughlin,closed
FOY-0044,Request Received,10/03/2026,Niamh Kelly,ok
FOY-0044,  Placement Offer,13/03/2026,Aine Murray,ok
FOY-0044,Booking Confirmed,25/03/2026,,complete
FOY-0044,Invoice Issued,"Mar 27, 2026",Niamh Kelly,completed
FOY-0044,  Pre-Arrival Logistics,"Mar 29, 2026",Paul Doherty,closed
FOY-0044,Arrival,08-Apr-2026,Niamh Kelly,completed
FOY-0045,  Request Received ,"Mar 07, 2026",Roisin Friel,complete
FOY-0045,Placement Offer,2026-03-08 08:00,Sean Gallagher,ok
FOY-0045,  Placement Re-allocation,10-Mar-2026,Aine Murray,closed
FOY-0045,booking confirmed,"Mar 12, 2026",Ciaran Bradley,
FOY-0045,Invoice Issued,14/03/2026,Declan Quinn,ok
FOY-0045,Pre-Arrival Logistics,17/03/2026,Aine Murray,done
FOY-0045,Arrival ,"Mar 25, 2026",Aine Murray,ok
FOY-0046,Request Received,"Jan 31, 2026",,complete
FOY-0046,Placement Offer,2026-02-03,Paul Doherty,
FOY-0046,Booking Confirmed,"Feb 04, 2026",Ciaran Bradley,ok
FOY-0046,Invoice Issued ,07/02/2026,Niamh Kelly,closed
FOY-0046,DOCUMENT RE-REQUEST,07-Feb-2026,Ciaran Bradley,complete
FOY-0046,  Pre-Arrival Logistics,"Feb 12, 2026",Aine Murray,completed
FOY-0046,Arrival ,"Feb 18, 2026",Orla McLaughlin,
FOY-0047,request received,2026-02-01,Sean Gallagher,ok
FOY-0047,  Placement Offer,2026-02-04,Aine Murray,complete
FOY-0047,  Booking Confirmed,"Feb 15, 2026",,
FOY-0047,Invoice Issued ,2026-02-19 09:45,Niamh Kelly,complete
FOY-0047,  Pre-Arrival Logistics,24/02/2026,Orla McLaughlin,closed
FOY-0047,Arrival,28-Feb-2026,Sean Gallagher,closed
FOY-0048,Request Received,11/03/2026,Aine Murray,
FOY-0048,placement offer,13-Mar-2026,Sean Gallagher,done
FOY-0048,Booking Confirmed,2026-03-14,Sean Gallagher,ok
FOY-0048,INVOICE ISSUED,"Mar 16, 2026",Aine Murray,completed
FOY-0048,pre-arrival logistics,2026-03-22 15:30,Orla McLaughlin,done
FOY-0048,  Arrival,"Mar 28, 2026",Sean Gallagher,completed
FOY-0049,Request Received,2026-01-03,Ciaran Bradley,ok
FOY-0049,Placement Offer,2026-01-05 10:15,Declan Quinn,complete
FOY-0049,BOOKING CONFIRMED,"Jan 07, 2026",Orla McLaughlin,done
FOY-0049,Invoice Issued,11/01/2026,Ciaran Bradley,closed
FOY-0049,pre-arrival logistics,2026-01-17,Sean Gallagher,completed
FOY-0049,Arrival,"Jan 21, 2026",,complete
FOY-0050,Request Received,2026-01-01 08:45,Declan Quinn,completed
FOY-0050,Placement Offer,02/01/2026,Niamh Kelly,done
FOY-0050,  Placement Re-allocation,2026-01-04 08:45,Niamh Kelly,closed
FOY-0050,Booking Confirmed,2026-01-12,Roisin Friel,complete
FOY-0050,  INVOICE ISSUED,16/01/2026,Roisin Friel,closed
FOY-0050,  Document Re-request,17-Jan-2026,Declan Quinn,
FOY-0050,Pre-Arrival Logistics,19/01/2026,,complete
FOY-0050,  Arrival,2026-01-23 08:45,Declan Quinn,completed
FOY-0051,request received,"Feb 17, 2026",Aine Murray,done
FOY-0051,Placement Offer,19/02/2026,Aine Murray,closed
FOY-0051,Booking Confirmed,03/03/2026,Declan Quinn,ok
FOY-0051,Invoice Issued,04-Mar-2026,Niamh Kelly,ok
FOY-0051,Document Re-request,2026-03-04 10:45,Paul Doherty,ok
FOY-0051,Pre-Arrival Logistics,2026-03-07,Paul Doherty,ok
FOY-0051,Arrival ,14-Mar-2026,Roisin Friel,complete
FOY-0052,Request Received,2026-01-14 17:00,Orla McLaughlin,ok
FOY-0052,placement offer,16-Jan-2026,,completed
FOY-0052,Booking Confirmed,2026-01-24,Ciaran Bradley,completed
FOY-0052,Invoice Issued,28/01/2026,Niamh Kelly,ok
FOY-0052,Pre-Arrival Logistics,01/02/2026,Declan Quinn,ok
FOY-0052,Arrival,"Feb 09, 2026",Roisin Friel,closed
FOY-0053,Request Received,"Jan 08, 2026",Ciaran Bradley,closed
FOY-0053,Placement Offer,2026-01-09 11:00,Niamh Kelly,ok
FOY-0053,Booking Confirmed,2026-01-19,,done
FOY-0053,Invoice Issued,"Jan 21, 2026",Roisin Friel,done
FOY-0053,Document Re-request ,"Jan 21, 2026",Orla McLaughlin,completed
FOY-0053,Pre-Arrival Logistics,"Jan 26, 2026",Roisin Friel,done
FOY-0053,Arrival,2026-02-03,,completed
FOY-0054,request received,25-Mar-2026,Roisin Friel,complete
FOY-0054,Placement Offer,2026-03-28 12:15,Roisin Friel,closed
FOY-0054,Booking Confirmed,2026-03-29 12:15,Ciaran Bradley,complete
FOY-0054,Invoice Issued,31-Mar-2026,Niamh Kelly,completed
FOY-0054,Document Re-request,"Mar 31, 2026",Ciaran Bradley,completed
FOY-0054,Pre-Arrival Logistics,02-Apr-2026,Paul Doherty,complete
FOY-0054,Arrival,11/04/2026,Niamh Kelly,completed
FOY-0055,Request Received,2026-02-10,Aine Murray,complete
FOY-0055,Placement Offer,2026-02-11,Niamh Kelly,ok
FOY-0055,  Booking Confirmed,"Feb 22, 2026",Aine Murray,closed
FOY-0055,Invoice Issued,"Feb 23, 2026",Orla McLaughlin,ok
FOY-0055,PRE-ARRIVAL LOGISTICS,"Feb 27, 2026",Declan Quinn,closed
FOY-0055,Arrival,2026-03-08 10:00,Ciaran Bradley,complete
FOY-0056,Request Received,2026-01-17,Roisin Friel,completed
FOY-0056,placement offer,2026-01-20,Aine Murray,ok
FOY-0056,Placement Re-allocation,2026-01-21,Orla McLaughlin,done
FOY-0056,Booking Confirmed,2026-01-23,Paul Doherty,done
FOY-0056,Invoice Issued,"Jan 25, 2026",Roisin Friel,done
FOY-0056,Pre-Arrival Logistics,2026-01-28,Paul Doherty,closed
FOY-0056,Arrival ,2026-02-02,Orla McLaughlin,ok
FOY-0057,Request Received,2026-01-23,Paul Doherty,
FOY-0057,Placement Offer,2026-01-24 08:30,Orla McLaughlin,done
FOY-0057,PLACEMENT RE-ALLOCATION,"Jan 26, 2026",Roisin Friel,ok
FOY-0057,Booking Confirmed,2026-02-08,Niamh Kelly,closed
FOY-0057,INVOICE ISSUED,2026-02-12,Niamh Kelly,ok
FOY-0057,  Pre-Arrival Logistics,2026-02-17,Sean Gallagher,completed
FOY-0057,Arrival,2026-02-21 08:30,Niamh Kelly,closed
FOY-0058,  Request Received,06/03/2026,Ciaran Bradley,done
FOY-0058,Placement Offer,2026-03-09 15:45,Declan Quinn,ok
FOY-0058,  Booking Confirmed,2026-03-11,Paul Doherty,done
FOY-0058,Invoice Issued,"Mar 12, 2026",Sean Gallagher,ok
FOY-0058,Document Re-request,"Mar 13, 2026",Declan Quinn,completed
FOY-0058,pre-arrival logistics ,"Mar 15, 2026",Orla McLaughlin,completed
FOY-0058,Arrival,2026-03-18 15:45,Paul Doherty,complete
FOY-0059,  Request Received,25-Jan-2026,Paul Doherty,ok
FOY-0059,Placement Offer,28-Jan-2026,Aine Murray,ok
FOY-0059,Booking Confirmed,30-Jan-2026,Niamh Kelly,complete
